https://ev.buaa.edu.cn/info/1097/2147.htm,Beihang Holds Homecoming Day to Celebrate Its 68th Anniversary
https://ev.buaa.edu.cn/info/1098/2279.htm,Beihang Celebrates 35th Teachers’ Day
https://ev.buaa.edu.cn/info/1098/2391.htm,Sino-American Spinal Cord Injury and Repair Experiment Verifies Prof. Li Xiaoguang’s Research Results
https://ev.buaa.edu.cn/info/1098/2387.htm,Beihang Team Advances to 2019 ICPC World Finals
https://ev.buaa.edu.cn/info/1098/2302.htm,TU Clausthal President Joachim Schachtner Visits Beihang
https://ev.buaa.edu.cn/info/1183/3441.htm,"The 15th ""Enterprise Open Day"" Held"
https://ev.buaa.edu.cn/info/1098/2349.htm,“A Midsummer Night's Dream” Staged at Beihang Sunrise Concert Hall
https://ev.buaa.edu.cn/info/1134/3154.htm,Beihang Holds Opening Ceremony for 2021 Fresh Students
https://ev.buaa.edu.cn/info/1098/2325.htm,Director of Brazilian Space Agency Visits Beihang Regional Center
https://ev.buaa.edu.cn/info/1097/2219.htm,Beihang Delegation Visits TUIT
https://ev.buaa.edu.cn/info/1098/2287.htm,Meeting of International Advisory Committee for the Development of BME at Beihang Held
https://ev.buaa.edu.cn/info/1164/3412.htm,13th Beihang University Vision Forum for International Young Scholars Convened
https://ev.buaa.edu.cn/info/1134/3174.htm,CHINA DAILY：Dramas assist with issue resolution
https://ev.buaa.edu.cn/info/1164/3241.htm,Five Works from Beihang Selected into SIGGRAPH Asia 2021
https://ev.buaa.edu.cn/info/1134/3071.htm,Wu Weishan Attends Beihang Grand Lecture
https://ev.buaa.edu.cn/info/1098/2343.htm,2019 Haptic Technology Seminar and Preparatory Meeting of AsiaHaptics 2020 Held at Beihang
https://ev.buaa.edu.cn/info/1098/2344.htm,"Prof. Li-Min Liu’s Group Publishes Article in Nature Nanotechnology, Reporting  Latest Results in the Field of Layered Metal Oxide"
https://ev.buaa.edu.cn/info/1100/2570.htm,NAE Holds GSCP Seminar at Beihang
https://ev.buaa.edu.cn/info/1164/3393.htm,Beihang University Holds 70th Anniversary Gala
https://ev.buaa.edu.cn/info/1164/3298.htm,Beihang Launches 70th Anniversary Logos
https://ev.buaa.edu.cn/info/1099/2485.htm,Beihang Graduates Achieve Excellent Results in the 4th FFVC
https://ev.buaa.edu.cn/info/1134/3093.htm,Beihang Students Win Prizes in 12th National Mathematics Competition for College Students
https://ev.buaa.edu.cn/info/1099/2484.htm,Vice President of ENAC Visits Beihang
https://ev.buaa.edu.cn/info/1098/2353.htm,Voluntary Tree-Planting Activity Carried out at Beihang
https://ev.buaa.edu.cn/info/1134/3145.htm,Beihang Welcomes 2021 Freshmen
https://ev.buaa.edu.cn/info/1183/3610.htm,Beihang Holds the 61st Sports Meeting for Teachers and Students
https://ev.buaa.edu.cn/info/1098/2224.htm,Beihang Student Awarded First Prize in National Final of 2019 “FLTRP·ETIC Cup” English Reading Contest
https://ev.buaa.edu.cn/info/1097/2172.htm,China-Arab Online Training Session on BDS Navigation Held
https://ev.buaa.edu.cn/info/1099/2539.htm,1st Short-Term Educational Training of China-Arab States BDS/GNSS Center Held in Tunisia
https://ev.buaa.edu.cn/info/1098/2330.htm,"Beihang University, Moscow Institute of Physics and Technology Sign Cooperation Agreement"
https://ev.buaa.edu.cn/info/1099/2505.htm,Beihang Former President Li Wei Honored with 2017 Annual Scientific Chinese Outstanding President Award
https://ev.buaa.edu.cn/info/1183/3485.htm,Zhou Xili’s Special Concert Staged at Beihang Sunrise Concert Hall
https://ev.buaa.edu.cn/info/1099/2448.htm,Delegation from University of Seville Visits Beihang
https://ev.buaa.edu.cn/info/1100/2573.htm,Saint Petersburg State University of Aerospace Instrumentation Delegation Visits Beihang
https://ev.buaa.edu.cn/info/1097/2160.htm,Beihang Celebrates 36th Teachers' Day and Commends Teachers for Their Contributions
https://ev.buaa.edu.cn/info/1164/3348.htm,Industry-Education Integration Research Center for Outstanding Engineer Training Unveiled at Beihang
https://ev.buaa.edu.cn/info/1164/3252.htm,2022 Spring Semester Begins as Scheduled at Beihang
https://ev.buaa.edu.cn/info/1097/2862.htm,Beihang Students Win First Prize in 17th CASC Cup
https://ev.buaa.edu.cn/info/1098/2393.htm,International Seminar on “Belt & Road” National Technology Projects Held
https://ev.buaa.edu.cn/info/1099/2411.htm,Composition Honors Stars of China’s Space Industry
https://ev.buaa.edu.cn/info/1134/3031.htm,Aero-engine System Collaborative Design Center Unveiled
https://ev.buaa.edu.cn/info/1099/2481.htm,Team of Prof. Luo Sida Makes Progress in Graphene Based Nanotechnology
https://ev.buaa.edu.cn/info/1098/2267.htm,Prof. Tang Ling’s Group Publishes Article in Nature Energy
https://ev.buaa.edu.cn/info/1183/3501.htm,The 29th Joint Management Committee Meeting of Sino-French Engineer School Convened at Beihang
https://ev.buaa.edu.cn/info/1100/2580.htm,First Summer Camp of APSCO Student Small Satellite Project Starts at Beihang
https://ev.buaa.edu.cn/info/1183/3542.htm,The 14th Beihang University Vision Forum for International Young Scholars Convened
https://ev.buaa.edu.cn/info/1134/3092.htm,Beihang Wins Highest Honor in 11th Capital “Challenge Cup”
https://ev.buaa.edu.cn/info/1099/2502.htm,Deputy Secretary-General of the CPPCC National Committee Guo Jun Visits Beihang to Study Informatization Construction
https://ev.buaa.edu.cn/info/1134/3211.htm,"Sino-French Engineer School ""Enterprise Open Day"" Held"
https://ev.buaa.edu.cn/info/1098/2274.htm,Beihang Teachers and Students Invited to Attend 4th Global Grand Challenges Summit
https://ev.buaa.edu.cn/info/1099/2455.htm,Ant Colony Algorithm Founder Marco Dorigo Gives Academic Report at Beihang
https://ev.buaa.edu.cn/info/1098/2390.htm,Prof. Li Daqing’s Team Makes Significant Breakthrough in the Field of Traffic Congestion Modes
https://ev.buaa.edu.cn/info/1134/3091.htm,Beihang Supercomputer Team Wins First Prize and Application Innovation Award in ASC20-21 Finals
https://ev.buaa.edu.cn/info/1099/2469.htm,Rector of ITMO University Visits Beihang
https://ev.buaa.edu.cn/info/1099/2530.htm,Italian Embassy and University of Bologna Delegation Visit Beihang
https://ev.buaa.edu.cn/info/1098/2230.htm,"Beihang Undergraduates Win Ten Gold, Ten silver and Three Bronze in 44th ICPC"
https://ev.buaa.edu.cn/info/1164/3378.htm,Beihang Holds Cultural Activities to Celebrate the National Day and the Upcoming 20th CPC National Congress
https://ev.buaa.edu.cn/info/1097/2165.htm,The 2020 Undergraduate Admission Letters from Beihang Sent
https://ev.buaa.edu.cn/info/1098/2226.htm,2019 BHIEC Global Reaches its Conclusion
https://ev.buaa.edu.cn/info/1183/3606.htm,Institut National des Sciences Appliquées Delegation Visits Beihang University
https://ev.buaa.edu.cn/info/1097/2214.htm,Letter to All Beihangers: Joining Forces to Fight Novel Coronavirus
https://ev.buaa.edu.cn/info/1099/2451.htm,Face Recognition System First Adopted to Register Student ID in Beihang
https://ev.buaa.edu.cn/info/1164/3399.htm,Beihang 70th Anniversary Series: Beihang Holds the 60th Sports Meeting for Faculties and Students
https://ev.buaa.edu.cn/info/1099/2541.htm,"Dean of Faculty of Engineering, University of Bristol Visits Beihang"
https://ev.buaa.edu.cn/info/1099/2545.htm,Delegation from Kogakuin University Visits Beihang
https://ev.buaa.edu.cn/info/1099/2517.htm,Beihang Leaders Take Group Photo with 2018 Graduates
https://ev.buaa.edu.cn/info/1097/2202.htm,Beihang Alumnus Initiates Charitable Donation and Haircut Service amid COVID-19 Outbreak
